Timestamp (us),X (g),Y (g),Z (g)
920517225,-1.549963,-0.100658,0.595730
920537734,-1.550095,-0.100177,0.641716
920558245,-1.501160,-0.254156,0.553020
920578757,-1.549738,-0.153913,0.366774
920599269,-1.496794,0.096980,0.086332
920619779,-1.397828,-0.162534,-0.321968
920640291,-1.200043,-0.523720,-0.635645
920660801,-0.852303,-0.676661,-0.354349
920681311,-0.853081,-0.831133,-0.535369
920701825,-0.654347,-0.986036,-0.577028
920722338,-0.353391,-0.940402,-0.805832
920742849,-0.302373,-0.787360,-0.716434
920763359,-0.299933,-0.534075,-0.813282
920783871,-0.349303,-0.430946,-0.723610
920804381,-0.351005,-0.582051,-0.582726
920824894,-0.501728,-0.577760,-0.307860
920845406,-0.502730,-0.678977,-0.259924
920865929,-0.853873,-0.828247,-0.259451
920886430,-1.100500,-0.365855,-0.040048
920906943,-1.247002,0.147411,0.271054
920927452,-1.200204,-0.208522,0.324216
920947961,-0.549807,-0.164724,0.235824
920968471,-0.495292,0.237755,-0.139516
920988981,-0.749211,-0.374425,-0.543444
921009493,-0.752140,-0.573494,-0.125667
921030008,-1.396947,0.306175,0.726939
921050521,-2.496803,0.003205,-0.056685
921071033,-0.800493,-0.526505,-0.540869
921091546,-0.654704,-0.932300,-0.302086
921112056,-1.004371,-0.877210,-0.213541
921132569,-1.202972,-0.722788,-0.217868
921153081,-1.302319,-0.619191,-0.128547
921173593,-1.048954,-0.214738,-0.134595
921194105,-0.947298,-0.064569,-0.274778
921214616,-1.098060,-0.112570,-0.136896
921235128,-1.098456,-0.111127,0.001063
921255640,-0.947748,0.041940,0.183134
921276151,-0.945401,0.347998,0.269256
921296660,-0.894989,0.398379,0.268631
921317168,-0.995813,0.297617,0.269880
921337677,-0.997290,0.093258,0.181808
921358186,-1.047438,0.041915,0.090460
921378694,-0.999202,-0.161951,0.094711
921399203,-0.999637,-0.212801,0.095686
921419711,-1.048611,-0.111115,0.047399
921440220,-0.948790,-0.111570,0.094087
921460729,-0.998635,-0.111583,0.047750
921481239,-1.095713,0.193488,-0.050774
921501749,-0.996023,0.193513,0.041899
921522257,-0.847834,-0.011289,0.046851
921542768,-0.999070,-0.162432,0.048725
921563277,-1.048875,-0.110152,0.139372
921583787,-0.948790,-0.111570,0.094087
921604296,-0.998635,-0.111583,0.047750
921624806,-0.998767,-0.111102,0.093736
921645318,-0.998331,-0.060253,0.092761
921665829,-1.049311,-0.161002,0.140347
921686341,-1.049311,-0.161002,0.140347
921706853,-0.948790,-0.111570,0.094087
921727364,-0.998292,-0.007960,0.229745
