Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
925290139,0.574812,0.225440,-0.096591
925340010,0.574869,0.198726,-0.075674
925389881,0.574868,0.207991,-0.065722
925439748,0.574780,0.217009,-0.065675
925489611,0.519709,0.286774,-0.198649
925539478,0.300135,0.392263,-0.381853
925589348,0.053906,0.308455,-0.542066
925639218,-0.045812,0.116870,-0.640583
925689085,-0.036065,-0.047379,-0.709699
925738953,0.028226,-0.147696,-0.739079
925788816,0.037670,-0.229301,-0.748213
925838686,0.028966,-0.337520,-0.736361
925888559,-0.071427,-0.345772,-0.715552
925938426,-0.098858,-0.337053,-0.735846
925988298,-0.089607,-0.363746,-0.714673
926088040,-0.089688,-0.346111,-0.735529
926137914,-0.080475,-0.363568,-0.704561
926187791,-0.089683,-0.345685,-0.715171
926237662,-0.089647,-0.354725,-0.715048
926287531,-0.080553,-0.345720,-0.715236
926337402,-0.062299,-0.346021,-0.725798
926387271,-0.034721,-0.390464,-0.684527
926437147,-0.016160,-0.461532,-0.622135
926487022,0.038980,-0.551094,-0.570628
926536897,0.084741,-0.578239,-0.560926
926586769,0.048213,-0.578447,-0.580392
926636639,0.039083,-0.578451,-0.580650
926686510,0.039123,-0.587025,-0.559852
926736385,0.039088,-0.577999,-0.560080
926786259,0.048180,-0.569233,-0.570658
926836136,0.039088,-0.578025,-0.560290
926886011,0.039121,-0.587304,-0.570559
926935883,0.066443,-0.569090,-0.560606
926985759,0.066442,-0.569065,-0.560397
927035634,0.066515,-0.586944,-0.550076
927085508,0.066546,-0.596157,-0.559817
927135379,0.130387,-0.578364,-0.560829
927185252,0.203328,-0.551112,-0.541459
927235121,0.185086,-0.549775,-0.480342
927284987,0.157773,-0.566884,-0.439088
927334866,0.112072,-0.558710,-0.489601
927384743,0.038950,-0.541652,-0.550603
927434613,-0.006956,-0.479039,-0.591756
927484487,0.057019,-0.497813,-0.612541
927534359,0.202994,-0.470361,-0.572791
927584230,0.266926,-0.470447,-0.563590
927634116,0.275931,-0.443757,-0.584067
