Timestamp (us),Temperature (degC)
917971661,38.125000
918974661,38.224998
919977663,38.250000
920980665,38.250000
921983666,38.250000
922986669,38.125000
923989669,38.224998
924992671,38.250000
925995674,38.224998
926998674,38.125000
928001678,38.125000
929004678,38.125000
930007692,38.125000
931010692,38.125000
932013694,38.125000
933016697,38.224998
934019697,38.250000
935022699,38.224998
936025700,38.125000
