Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
924506456,0.679697,0.395544,0.265358
924555345,0.680241,0.385762,0.244636
924604231,0.670168,0.413869,0.264858
924653121,0.689103,0.404321,0.254830
924702007,0.670278,0.422696,0.254241
924750891,0.660964,0.422729,0.254084
924799770,0.679583,0.422654,0.254365
924848658,0.660174,0.432803,0.285147
924897542,0.659955,0.433122,0.295596
924946424,0.660853,0.413902,0.264700
924995316,0.660063,0.423976,0.295767
925044200,0.669583,0.405642,0.296233
925093085,0.659702,0.397467,0.327517
925141967,0.650303,0.424637,0.316468
925190849,0.641337,0.433196,0.295310
925239738,0.641380,0.469180,0.273875
925288622,0.632320,0.504867,0.241795
925337506,0.614178,0.522315,0.209968
925386387,0.596763,0.574823,0.125427
925435265,0.598468,0.581482,0.041929
925484152,0.590306,0.597948,-0.021018
925533039,0.584296,0.584515,-0.166746
925630813,0.664861,0.386860,-0.339178
925679699,0.720328,0.342121,-0.295971
925728584,0.766682,0.279122,-0.252465
925777466,0.813288,0.233801,-0.230167
925826344,0.842865,0.168417,-0.270249
925875226,0.845306,0.075104,-0.331014
925924110,0.827810,0.019695,-0.351109
925972995,0.838094,-0.026693,-0.370908
926021880,0.838081,-0.044675,-0.360154
926070762,0.820034,-0.054355,-0.381055
926119647,0.829674,-0.063853,-0.391173
926168532,0.811185,-0.054932,-0.402004
926217417,0.820154,-0.045519,-0.391639
926266304,0.829674,-0.063853,-0.391173
926315196,0.811104,-0.027806,-0.412985
926364087,0.819176,0.000827,-0.371719
926412973,0.836607,-0.033674,-0.297849
926461859,0.872300,-0.076786,-0.202758
926510742,0.881004,-0.121009,-0.149724
926559624,0.882011,-0.167359,-0.169716
926608504,0.872828,-0.176466,-0.169693
926657384,0.863952,-0.195021,-0.179863
926755139,0.864072,-0.186184,-0.190447
926804020,0.882909,-0.186578,-0.200612
926852899,0.864299,-0.186494,-0.200859
926901778,0.873724,-0.177700,-0.211319
926950658,0.864862,-0.196258,-0.221513
926999536,0.873389,-0.168245,-0.201077
927097275,0.898180,-0.074131,-0.108703
927146149,0.895714,-0.016782,-0.026428
927195017,0.885190,0.011935,0.014585
927243892,0.887174,-0.062778,-0.036110
927292771,0.861579,-0.146815,-0.097403
927341646,0.827820,-0.268327,-0.189404
927390524,0.747118,-0.335067,-0.293487
927439398,0.720102,-0.336171,-0.335468
927488270,0.746126,-0.288719,-0.273514
927537147,0.791297,-0.269092,-0.221168
927586019,0.826946,-0.195157,-0.190744
927634902,0.845020,-0.167499,-0.180624
927683777,0.872036,-0.148407,-0.149357
927732662,0.862048,-0.147437,-0.118243
927781542,0.871153,-0.129190,-0.118479
927830420,0.879439,-0.118849,-0.076870
927879305,0.870441,-0.128257,-0.087210
927928184,0.879077,-0.127374,-0.055862
927977071,0.888059,-0.099979,-0.056251
928025957,0.896921,-0.081420,-0.046057
928074838,0.886504,-0.043868,-0.015627
928123727,0.903423,0.003322,0.035826
928172619,0.892513,0.068628,0.076184
928221490,0.890350,0.152476,0.126667
928270376,0.868871,0.264478,0.197271
928319251,0.838718,0.357592,0.247190
928368129,0.827979,0.404607,0.287888
928417011,0.848074,0.393530,0.225868
928465890,0.916009,0.326431,0.134219
928514763,0.976289,0.176135,0.012746
928563638,1.009987,-0.047819,-0.128574
928612523,0.941220,-0.244185,-0.282183
928661408,0.879222,-0.320150,-0.385821
928710284,0.878749,-0.301536,-0.375645
