Timestamp (us),X (g),Y (g),Z (g)
920608129,-0.998924,0.076822,-0.219618
920628495,-0.999056,-0.080522,-0.424205
920648859,-1.406811,-0.020668,-0.387557
920669222,-1.660626,0.140037,-0.294879
920689587,-1.303651,0.133350,-0.282283
920709952,-1.100400,0.078025,-0.274673
920730317,-1.052555,-0.181160,-0.322267
920750680,-0.898531,-0.185441,-0.419781
920771045,-0.796322,-0.135139,-0.365138
920791406,-0.694329,-0.137049,-0.361540
920811770,-0.643850,-0.137297,-0.308284
920832134,-0.542375,-0.138500,-0.253229
920852496,-0.648338,-0.341192,-0.152266
920872858,-0.599844,-0.443741,-0.046730
920893217,-0.702571,-0.493335,-0.049916
920913580,-0.903660,0.084111,0.452909
920933942,-1.047147,1.124142,0.953821
920954304,-0.960631,2.912397,-0.036481
920974665,-1.488764,2.054157,0.518553
920995023,-0.845719,0.126169,-0.163176
921015387,-0.392932,-0.871627,-0.910984
921035750,-1.587123,-1.713203,-0.070607
921056113,-1.782417,0.011493,1.452264
921076472,-1.125804,1.356684,-1.007169
921096833,-0.735059,-0.045115,-1.238916
921117196,-1.166159,-0.845977,-0.114680
921137561,-1.104803,-0.231002,-0.272198
921157923,-1.098330,0.075195,-0.480497
921178284,-0.947109,0.022240,-0.371774
921198648,-0.896329,-0.030927,-0.421018
921219012,-0.845333,-0.031883,-0.419219
921239374,-0.948446,0.076575,-0.166363
921259735,-0.999225,0.129742,-0.117119
921280097,-0.998275,0.233459,-0.066487
921300459,-0.995556,0.387264,-0.119181
921320818,-1.045085,0.491228,-0.121805
921341179,-0.994305,0.438061,-0.171049
921361539,-0.945209,0.229673,-0.270512
921381900,-0.896198,0.126416,-0.216432
921402261,-0.999959,0.078238,-0.116706
921422623,-0.950214,0.026486,-0.063038
921442985,-0.950948,-0.025019,-0.062626
921463348,-0.949697,0.025778,-0.114494
921483710,-0.947194,0.127372,-0.218231
921504073,-0.891926,0.278099,-0.423493
921524426,-0.842181,0.226347,-0.369825
921544780,-0.896715,0.127124,-0.164976
921565139,-0.999959,0.078238,-0.116706
921585500,-0.948963,0.077282,-0.114907
921605860,-0.949179,0.025070,-0.165950
921626220,-0.947928,0.075867,-0.217819
921646582,-0.998407,0.076115,-0.271074
921666945,-0.947712,0.128079,-0.166775
921687312,-0.948229,0.128787,-0.115319
921707669,-0.999225,0.129742,-0.117119
921728030,-0.999225,0.129742,-0.117119
921748393,-0.999009,0.181954,-0.066075
921768758,-0.997541,0.284963,-0.066900
921809482,-0.994088,0.490273,-0.120006
921829845,-0.942358,0.540822,-0.118619
921850209,-1.094915,0.648112,-0.021930
921870573,-1.297734,0.807862,0.072547
921890936,-1.554655,0.972812,0.473960
921911296,-1.657466,1.028350,0.624317
921931657,-1.813089,0.772278,0.518069
921952019,-1.560572,0.298301,0.119130
921972381,-1.461731,0.038160,0.073335
921992744,-1.458711,0.139046,-0.081858
922013107,-1.505690,0.607080,0.169911
922033470,-1.556555,0.765379,0.372698
922053833,-1.400677,0.706055,0.018317
922074196,-1.244536,0.961420,0.073109
922094558,-1.195741,0.805951,0.076145
922114918,-0.891145,0.592079,-0.065776
922135279,-0.790188,0.591584,0.040735
922155641,-0.743595,0.281602,0.045009
922176006,-0.842134,0.488823,-0.011695
922196369,-0.690914,0.435868,0.097027
922237093,-0.287346,0.119200,0.113898
922277819,-0.083360,0.115379,0.121096
922298184,0.018416,0.061257,0.073651
922318547,0.119374,0.060762,0.180162
922338912,0.064840,-0.038461,0.385012
922359273,0.012893,-0.141223,0.332581
922379637,-0.038188,-0.035136,0.484325
922399998,-0.038922,-0.086640,0.484737
922420361,-0.091039,0.020862,0.739393
922440723,-0.243595,0.128152,0.836082
922461085,-0.294375,0.181319,0.885326
922481447,-0.293641,0.232824,0.884914
922501810,-0.292907,0.284328,0.884501
922522171,-0.342652,0.336080,0.830833
922542531,-0.240142,0.333462,0.782976
