Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
924603148,0.759342,0.087464,0.478951
924652744,0.759537,0.087310,0.468533
924702327,0.759724,0.078066,0.447767
924751913,0.759711,0.078061,0.447745
924801497,0.777676,0.060047,0.458817
924851087,0.768441,0.060211,0.458647
924900680,0.778038,0.059729,0.437929
924950275,0.768835,0.050818,0.427483
924999866,0.777682,0.050962,0.448496
925049457,0.769023,0.041574,0.406724
925099053,0.768492,0.042055,0.438073
925148652,0.796331,0.032299,0.417733
925198244,0.815838,0.049173,0.375980
925247837,0.816496,0.066690,0.354785
925297428,0.817573,0.083908,0.312740
925347023,0.846473,0.091364,0.250382
925396613,0.848066,0.108096,0.177000
925446205,0.848374,0.125934,0.176725
925495793,0.868696,0.114943,0.062226
925545379,0.878602,0.032565,-0.061552
925594965,0.878452,-0.076081,-0.164156
925644555,0.858860,-0.201597,-0.225198
925694139,0.821039,-0.272611,-0.245505
925743739,0.811334,-0.308283,-0.255434
925793341,0.828039,-0.334280,-0.181683
925842930,0.845449,-0.351833,-0.139389
925892516,0.864127,-0.307077,-0.108376
925942102,0.872893,-0.324944,-0.097665
925991692,0.853727,-0.333047,-0.066423
926041282,0.872190,-0.342466,-0.076429
926090866,0.872176,-0.351537,-0.086619
926140451,0.852913,-0.368581,-0.055446
926190029,0.853066,-0.377804,-0.076034
926239606,0.843042,-0.404100,-0.055010
926289191,0.824097,-0.430521,-0.054816
926338773,0.814280,-0.484208,-0.075031
926388356,0.785611,-0.537215,-0.074491
926437941,0.747021,-0.580362,-0.022179
926487527,0.745014,-0.578606,0.092739
926537109,0.743881,-0.568556,0.165732
926586687,0.772965,-0.543110,0.113482
926636266,0.773132,-0.543261,0.103066
926685844,0.791342,-0.525272,0.134416
926735431,0.782130,-0.516038,0.144520
926785014,0.800568,-0.507304,0.155090
926834599,0.801270,-0.489785,0.133887
926884189,0.791843,-0.498516,0.133956
926933772,0.792043,-0.507754,0.113218
926983367,0.792033,-0.489609,0.133764
927032944,0.810840,-0.490265,0.113167
927082530,0.773485,-0.525434,0.102720
927132115,0.726984,-0.596756,0.050931
927181700,0.680839,-0.659325,-0.011493
927231289,0.633393,-0.711693,0.009541
927280872,0.606087,-0.720559,-0.021999
927330460,0.616011,-0.721339,-0.063522
927380057,0.617819,-0.704802,-0.147523
927429641,0.618633,-0.678319,-0.168650
927479226,0.626814,-0.677582,-0.106093
927528807,0.643626,-0.676492,-0.011787
927578390,0.616874,-0.685847,-0.074703
927627973,0.653199,-0.676968,-0.032485
927677549,0.680433,-0.649906,0.019779
927727122,0.689941,-0.614071,0.040229
927776694,0.717173,-0.587011,0.092475
927826267,0.735566,-0.551046,0.133905
927875843,0.763123,-0.506143,0.185854
927925426,0.763214,-0.469973,0.216613
927975014,0.782144,-0.443547,0.216469
928024597,0.810000,-0.435146,0.216739
928123761,0.819474,-0.390224,0.247498
928173364,0.828514,-0.390235,0.258087
928222937,0.829352,-0.372858,0.226487
928272520,0.848539,-0.382912,0.174725
928322102,0.838742,-0.445675,0.144255
928371687,0.810731,-0.517356,0.092686
928421269,0.782126,-0.606674,0.052024
928470850,0.754241,-0.660352,0.010610
928520425,0.725220,-0.703977,0.042232
928570009,0.724618,-0.694386,0.083956
928619592,0.735459,-0.677846,0.010650
928669167,0.747671,-0.644381,-0.125485
928718739,0.736003,-0.678322,-0.020679
928768310,0.746117,-0.679274,-0.072695
928817890,0.753713,-0.687083,0.011169
928867463,0.773028,-0.651928,0.000313
928917043,0.819560,-0.616898,0.011029
928966617,0.829260,-0.572162,0.031252
929016190,0.866271,-0.545757,0.052286
929065768,0.866922,-0.519142,0.041443
929115347,0.876682,-0.501643,0.030781
929164923,0.876643,-0.483481,0.051379
929214496,0.886195,-0.483953,0.030712
929264077,0.904779,-0.457217,0.051416
929313657,0.913984,-0.457379,0.051597
929363233,0.895200,-0.474877,0.051631
929412811,0.884984,-0.510083,0.072915
929462392,0.857208,-0.527593,0.062258
929511976,0.866560,-0.518825,0.062326
929561564,0.885204,-0.528402,0.041881
929611153,0.876141,-0.510239,0.051850
929660743,0.885201,-0.519330,0.052142
929710328,0.885000,-0.510091,0.072883
929759911,0.885492,-0.501471,0.051921
929809498,0.885652,-0.483477,0.062037
