Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
925479929,0.850061,0.020867,0.278714
925529583,0.868995,0.038779,0.288950
925579234,0.851626,0.066950,0.278110
925628890,0.861882,0.103616,0.287905
925678552,0.863227,0.121581,0.246828
925728211,0.853920,0.131351,0.266975
925777872,0.854885,0.149550,0.246296
925827535,0.855397,0.158650,0.235982
925877193,0.854476,0.130999,0.236364
925926853,0.852313,0.075932,0.257583
925976505,0.851713,0.048047,0.237509
926026164,0.845154,0.074844,0.134866
926075820,0.859078,0.118500,-0.049496
926125468,0.832912,0.090164,-0.192477
926175116,0.787010,0.035049,-0.314893
926224778,0.749814,-0.020032,-0.406545
926274442,0.730998,-0.019160,-0.386363
926373775,0.732883,0.026690,-0.407427
926423434,0.741559,0.007932,-0.407175
926473095,0.714286,0.017993,-0.417759
926522752,0.733716,0.035555,-0.438196
926572408,0.724583,0.026417,-0.458758
926622067,0.714608,0.017762,-0.438120
926671728,0.714461,0.017876,-0.427973
926721387,0.714608,0.017762,-0.438120
926771050,0.732898,0.017241,-0.427662
926820703,0.714110,0.018111,-0.407545
926870363,0.723678,0.027006,-0.407612
926920020,0.732122,0.008371,-0.397020
926969672,0.741487,0.017386,-0.386809
927019326,0.740741,-0.010382,-0.396643
927068978,0.739704,-0.019127,-0.355599
927168292,0.757381,-0.038081,-0.344885
927217949,0.737951,-0.055643,-0.324449
927267600,0.756110,-0.065497,-0.324076
927317257,0.747594,-0.037407,-0.314316
927366915,0.747140,-0.046510,-0.304025
927416570,0.746219,-0.074161,-0.303644
927466228,0.745254,-0.092360,-0.282962
927515886,0.761688,-0.138736,-0.251480
927565545,0.740343,-0.202143,-0.209939
927615202,0.718721,-0.274771,-0.168311
927664851,0.676089,-0.401595,-0.085311
927714509,0.644356,-0.473319,0.007263
927764164,0.653063,-0.473286,0.038028
927813824,0.691442,-0.447262,0.007495
927863484,0.751662,-0.358178,-0.095178
927913143,0.803921,-0.241359,-0.218784
927962815,0.801879,-0.095094,-0.353722
928012484,0.761897,0.043699,-0.448168
928062156,0.737691,0.127137,-0.490611
928111817,0.738408,0.154906,-0.480705
928161483,0.782336,0.107697,-0.438599
928211146,0.826747,0.069587,-0.406835
928260810,0.861354,0.003911,-0.395240
928310478,0.878361,-0.014578,-0.343725
928360136,0.914560,-0.015381,-0.302325
928409801,0.923343,-0.024803,-0.291908
928459459,0.922346,-0.042998,-0.271179
928509119,0.921896,-0.052102,-0.260881
928558774,0.930471,-0.061403,-0.240201
928608431,0.929989,-0.070503,-0.229858
928658093,0.928542,-0.097803,-0.198831
